date,passenger_count,weekday_num,weekday,is_weekend,holiday_name,is_holiday,day_type,day_type_order
2025-01-01,3949907.0,2,수,False,신정연휴,True,Public holiday,2
2025-01-02,9300390.0,3,목,False,,False,Ordinary weekday,0
2025-01-03,9798970.0,4,금,False,,False,Ordinary weekday,0
2025-01-04,6958991.0,5,토,True,,False,Ordinary weekend,1
2025-01-05,4866114.0,6,일,True,,False,Ordinary weekend,1
2025-01-06,9478276.0,0,월,False,,False,Ordinary weekday,0
2025-01-07,9541237.0,1,화,False,,False,Ordinary weekday,0
2025-01-08,9517243.0,2,수,False,,False,Ordinary weekday,0
2025-01-09,9011656.0,3,목,False,,False,Ordinary weekday,0
2025-01-10,9576869.0,4,금,False,,False,Ordinary weekday,0
2025-01-11,7144512.0,5,토,True,,False,Ordinary weekend,1
2025-01-12,5086064.0,6,일,True,,False,Ordinary weekend,1
2025-01-13,9465476.0,0,월,False,,False,Ordinary weekday,0
2025-01-14,9758493.0,1,화,False,,False,Ordinary weekday,0
2025-01-15,9723505.0,2,수,False,,False,Ordinary weekday,0
2025-01-16,9697688.0,3,목,False,,False,Ordinary weekday,0
2025-01-17,10102728.0,4,금,False,,False,Ordinary weekday,0
2025-01-18,7538047.0,5,토,True,,False,Ordinary weekend,1
2025-01-19,5202641.0,6,일,True,,False,Ordinary weekend,1
2025-01-20,9516442.0,0,월,False,,False,Ordinary weekday,0
2025-01-21,9716640.0,1,화,False,,False,Ordinary weekday,0
2025-01-22,9763147.0,2,수,False,,False,Ordinary weekday,0
2025-01-23,9844014.0,3,목,False,,False,Ordinary weekday,0
2025-01-24,10012475.0,4,금,False,,False,Ordinary weekday,0
2025-01-25,6621481.0,5,토,True,,False,Ordinary weekend,1
2025-01-26,4854780.0,6,일,True,,False,Ordinary weekend,1
2025-01-27,4795052.0,0,월,False,임시공휴일,True,Public holiday,2
2025-01-28,3340983.0,1,화,False,설날 전날,True,Public holiday,2
2025-01-29,2907370.0,2,수,False,설날,True,Public holiday,2
2025-01-30,3837607.0,3,목,False,설날 다음날,True,Public holiday,2
2025-01-31,8144419.0,4,금,False,,False,Ordinary weekday,0
2025-02-01,6407990.0,5,토,True,,False,Ordinary weekend,1
2025-02-02,4755144.0,6,일,True,,False,Ordinary weekend,1
2025-02-03,9430732.0,0,월,False,,False,Ordinary weekday,0
2025-02-04,9164723.0,1,화,False,,False,Ordinary weekday,0
2025-02-05,9350617.0,2,수,False,,False,Ordinary weekday,0
2025-02-06,9792349.0,3,목,False,,False,Ordinary weekday,0
2025-02-07,9977159.0,4,금,False,,False,Ordinary weekday,0
