date,weekday,holiday_name,passenger_count
2025-01-01,수,신정연휴,3949907.0
2025-01-27,월,임시공휴일,4795052.0
2025-01-28,화,설날 전날,3340983.0
2025-01-29,수,설날,2907370.0
2025-01-30,목,설날 다음날,3837607.0
2025-03-01,토,삼일절,7441682.0
2025-03-03,월,삼일절 대체 휴일,5336539.0
2025-05-05,월,부처님오신날; 어린이날,5943604.0
2025-05-06,화,부처님오신날 대체 휴일; 어린이날 대체 휴일,5717566.0
2025-06-03,화,대통령 선거일; 제21대 대통령선거일,5878064.0
2025-06-06,금,현충일,6608893.0
2025-08-15,금,광복절,6315626.0
2025-10-03,금,개천절,6180335.0
2025-10-05,일,추석 전날,4050176.0
2025-10-06,월,추석,3129746.0
2025-10-07,화,추석 다음날,4150106.0
2025-10-08,수,추석 대체 휴일,5691606.0
2025-10-09,목,한글날,5460124.0
2025-12-25,목,기독탄신일,6831450.0
