station_name,first_date,last_date,number_of_days
가락시장,2025-01-01,2025-12-31,365
가산디지털단지,2025-01-01,2025-12-31,365
강남,2025-01-01,2025-12-31,365
강남구청,2025-01-01,2025-12-31,365
강동,2025-01-01,2025-12-31,365
강동구청,2025-01-01,2025-12-31,365
강변(동서울터미널),2025-01-01,2025-12-31,365
강일,2025-01-01,2025-12-31,365
개롱,2025-01-01,2025-12-31,365
개화산,2025-01-01,2025-12-31,365
거여,2025-01-01,2025-12-31,365
건대입구,2025-01-01,2025-12-31,365
경복궁(정부서울청사),2025-01-01,2025-12-31,365
경찰병원,2025-01-01,2025-12-31,365
고덕,2025-01-01,2025-12-31,365
고려대(종암),2025-01-01,2025-12-31,365
고속터미널,2025-01-01,2025-12-31,365
공덕,2025-01-01,2025-12-31,365
공릉(서울과학기술대),2025-01-01,2025-12-31,365
광나루(장신대),2025-01-01,2025-12-31,365
광명사거리,2025-01-01,2025-12-31,365
광화문(세종문화회관),2025-01-01,2025-12-31,365
광흥창(서강),2025-01-01,2025-12-31,365
교대(법원.검찰청),2025-01-01,2025-12-31,365
구로디지털단지,2025-01-01,2025-12-31,365
구산,2025-01-01,2025-12-31,365
구의(광진구청),2025-01-01,2025-12-31,365
구파발,2025-01-01,2025-12-31,365
군자(능동),2025-01-01,2025-12-31,365
굽은다리(강동구민회관앞),2025-01-01,2025-12-31,365
금호,2025-01-01,2025-12-31,365
길동,2025-01-01,2025-12-31,365
길음,2025-01-01,2025-12-31,365
김포공항,2025-01-01,2025-12-31,365
까치산,2025-01-01,2025-12-31,365
낙성대(강감찬),2025-01-01,2025-12-31,365
남구로,2025-01-01,2025-12-31,365
남부터미널(예술의전당),2025-01-01,2025-12-31,365
남성,2025-01-01,2025-12-31,365
남위례,2025-01-01,2025-12-31,365
남태령,2025-01-01,2025-12-31,365
남한산성입구(성남법원.검찰청),2025-01-01,2025-12-31,365
내방,2025-01-01,2025-12-31,365
노원,2025-01-01,2025-12-31,365
녹번,2025-01-01,2025-12-31,365
녹사평(용산구청),2025-01-01,2025-12-31,365
논현,2025-01-01,2025-12-31,365
단대오거리,2025-01-01,2025-12-31,365
답십리,2025-01-01,2025-12-31,365
당산,2025-01-01,2025-12-31,365
대림(구로구청),2025-01-01,2025-12-31,365
대청,2025-01-01,2025-12-31,365
대치,2025-01-01,2025-12-31,365
대흥(서강대앞),2025-01-01,2025-12-31,365
도곡,2025-01-01,2025-12-31,365
도림천,2025-01-01,2025-12-31,365
도봉산,2025-01-01,2025-12-31,365
독립문,2025-01-01,2025-12-31,365
독바위,2025-01-01,2025-12-31,365
돌곶이,2025-01-01,2025-12-31,365
동대문,2025-01-01,2025-12-31,365
동대문역사문화공원(DDP),2025-01-01,2025-12-31,365
동대입구,2025-01-01,2025-12-31,365
동묘앞,2025-01-01,2025-12-31,365
동작(현충원),2025-01-01,2025-12-31,365
둔촌동,2025-01-01,2025-12-31,365
디지털미디어시티,2025-01-01,2025-12-31,365
뚝섬,2025-01-01,2025-12-31,365
마곡,2025-01-01,2025-12-31,365
마들,2025-01-01,2025-12-31,365
마장,2025-01-01,2025-12-31,365
마천,2025-01-01,2025-12-31,365
마포,2025-01-01,2025-12-31,365
마포구청,2025-01-01,2025-12-31,365
망원,2025-01-01,2025-12-31,365
매봉,2025-01-01,2025-12-31,365
먹골,2025-01-01,2025-12-31,365
면목,2025-01-01,2025-12-31,365
명동,2025-01-01,2025-12-31,365
명일,2025-01-01,2025-12-31,365
모란,2025-01-01,2025-12-31,365
목동,2025-01-01,2025-12-31,365
몽촌토성(평화의문),2025-01-01,2025-12-31,365
무악재,2025-01-01,2025-12-31,365
문래,2025-01-01,2025-12-31,365
문정,2025-01-01,2025-12-31,365
미사,2025-01-01,2025-12-31,365
미아(서울사이버대학),2025-01-01,2025-12-31,365
미아사거리,2025-01-01,2025-12-31,365
반포,2025-01-01,2025-12-31,365
발산,2025-01-01,2025-12-31,365
방배,2025-01-01,2025-12-31,365
방이,2025-01-01,2025-12-31,365
방화,2025-01-01,2025-12-31,365
버티고개,2025-01-01,2025-12-31,365
보라매,2025-01-01,2025-12-31,365
보문,2025-01-01,2025-12-31,365
복정,2025-01-01,2025-12-31,365
봉천,2025-01-01,2025-12-31,365
봉화산(서울의료원),2025-01-01,2025-12-31,365
불광,2025-01-01,2025-12-31,365
불암산,2025-01-01,2025-12-31,365
사가정,2025-01-01,2025-12-31,365
사당,2025-01-01,2025-12-31,365
산성,2025-01-01,2025-12-31,365
삼각지(전쟁기념관),2025-01-01,2025-12-31,365
삼성(무역센터),2025-01-01,2025-12-31,365
상계,2025-01-01,2025-12-31,365
상도,2025-01-01,2025-12-31,365
상봉,2025-01-01,2025-12-31,365
상수,2025-01-01,2025-12-31,365
상왕십리,2025-01-01,2025-12-31,365
상월곡(한국과학기술연구원),2025-01-01,2025-12-31,365
상일동,2025-01-01,2025-12-31,365
새절(신사),2025-01-01,2025-12-31,365
서대문,2025-01-01,2025-12-31,365
서울대입구(관악구청),2025-01-01,2025-12-31,365
서울역,2025-01-01,2025-12-31,365
서초,2025-01-01,2025-12-31,365
석계,2025-01-01,2025-12-31,365
석촌,2025-01-01,2025-12-31,365
선릉,2025-01-01,2025-12-31,365
성수,2025-01-01,2025-12-31,365
성신여대입구(돈암),2025-01-01,2025-12-31,365
송정,2025-01-01,2025-12-31,365
송파,2025-01-01,2025-12-31,365
수락산,2025-01-01,2025-12-31,365
수서,2025-01-01,2025-12-31,365
수유(강북구청),2025-01-01,2025-12-31,365
수진,2025-01-01,2025-12-31,365
숙대입구(갈월),2025-01-01,2025-12-31,365
숭실대입구(살피재),2025-01-01,2025-12-31,365
시청,2025-01-01,2025-12-31,365
신금호,2025-01-01,2025-12-31,365
신길,2025-01-01,2025-12-31,365
신답,2025-01-01,2025-12-31,365
신당,2025-01-01,2025-12-31,365
신대방,2025-01-01,2025-12-31,365
신대방삼거리,2025-01-01,2025-12-31,365
신도림,2025-01-01,2025-12-31,365
신림,2025-01-01,2025-12-31,365
신사,2025-01-01,2025-12-31,365
신설동,2025-01-01,2025-12-31,365
신용산,2025-01-01,2025-12-31,365
신정(은행정),2025-01-01,2025-12-31,365
신정네거리,2025-01-01,2025-12-31,365
신촌,2025-01-01,2025-12-31,365
신풍,2025-01-01,2025-12-31,365
신흥,2025-01-01,2025-12-31,365
쌍문,2025-01-01,2025-12-31,365
아차산(어린이대공원후문),2025-01-01,2025-12-31,365
아현,2025-01-01,2025-12-31,365
안국,2025-01-01,2025-12-31,365
안암(고대병원앞),2025-01-01,2025-12-31,365
암사,2025-01-01,2025-12-31,365
암사역사공원,2025-01-01,2025-12-31,365
압구정,2025-01-01,2025-12-31,365
애오개,2025-01-01,2025-12-31,365
약수,2025-01-01,2025-12-31,365
양재(서초구청),2025-01-01,2025-12-31,365
양천구청,2025-01-01,2025-12-31,365
양평,2025-01-01,2025-12-31,365
어린이대공원(세종대),2025-01-01,2025-12-31,365
여의나루,2025-01-01,2025-12-31,365
여의도,2025-01-01,2025-12-31,365
역삼,2025-01-01,2025-12-31,365
역촌,2025-01-01,2025-12-31,365
연신내,2025-01-01,2025-12-31,365
영등포구청,2025-01-01,2025-12-31,365
영등포시장,2025-01-01,2025-12-31,365
오금,2025-01-01,2025-12-31,365
오목교(목동운동장앞),2025-01-01,2025-12-31,365
옥수,2025-01-01,2025-12-31,365
온수(성공회대입구),2025-01-01,2025-12-31,365
올림픽공원(한국체대),2025-01-01,2025-12-31,365
왕십리(성동구청),2025-01-01,2025-12-31,365
용답,2025-01-01,2025-12-31,365
용두(동대문구청),2025-01-01,2025-12-31,365
용마산(용마폭포공원),2025-01-01,2025-12-31,365
우장산,2025-01-01,2025-12-31,365
월곡(동덕여대),2025-01-01,2025-12-31,365
월드컵경기장(성산),2025-01-01,2025-12-31,365
을지로3가,2025-01-01,2025-12-31,365
을지로4가,2025-01-01,2025-12-31,365
을지로입구,2025-01-01,2025-12-31,365
응암,2025-01-01,2025-12-31,365
이대,2025-01-01,2025-12-31,365
이수,2025-01-01,2025-12-31,365
이촌(국립중앙박물관),2025-01-01,2025-12-31,365
이태원,2025-01-01,2025-12-31,365
일원,2025-01-01,2025-12-31,365
자양(뚝섬한강공원),2025-01-01,2025-12-31,365
잠실(송파구청),2025-01-01,2025-12-31,365
잠실나루,2025-01-01,2025-12-31,365
잠실새내,2025-01-01,2025-12-31,365
잠원,2025-01-01,2025-12-31,365
장승배기,2025-01-01,2025-12-31,365
장암,2025-01-01,2025-12-31,365
장지,2025-01-01,2025-12-31,365
장한평,2025-01-01,2025-12-31,365
제기동,2025-01-01,2025-12-31,365
종각,2025-01-01,2025-12-31,365
종로3가,2025-01-01,2025-12-31,365
종로5가,2025-01-01,2025-12-31,365
종합운동장,2025-01-01,2025-12-31,365
중계,2025-01-01,2025-12-31,365
중곡,2025-01-01,2025-12-31,365
중화,2025-01-01,2025-12-31,365
증산(명지대앞),2025-01-01,2025-12-31,365
지축,2025-01-01,2025-12-31,365
창동,2025-01-01,2025-12-31,365
창신,2025-01-01,2025-12-31,365
천왕,2025-01-01,2025-12-31,365
