station_name,weekday_average,weekend_average,holiday_average,overall_average,lines,weekend_ratio,holiday_ratio,relative_weekend_index,weekend_change_rate,station_type,overall_volume_rank,weekend_index_rank
잠실(송파구청),211206,179183,152989,199227,"2호선, 8호선",0.848,0.724,1.308,-15.162,Weekend-relative-strong,1,22
서울역,189242,148344,122843,174357,"1호선, 4호선",0.784,0.649,1.209,-21.612,Weekend-relative-strong,2,31
홍대입구,149049,166315,137818,153290,2호선,1.116,0.925,1.721,11.584,Weekend-relative-strong,3,4
강남,180657,100064,67241,152231,2호선,0.554,0.372,0.854,-44.611,Balanced,4,183
사당,148914,114165,78169,135521,"2호선, 4호선",0.767,0.525,1.182,-23.334,Balanced,5,40
고속터미널,130341,139628,116039,132192,"3호선, 7호선",1.071,0.89,1.652,7.125,Weekend-relative-strong,6,6
구로디지털단지,128137,66398,51218,106880,2호선,0.518,0.4,0.799,-48.182,Weekday-oriented,7,203
신림,118273,85166,66620,106332,2호선,0.72,0.563,1.111,-27.992,Balanced,8,51
종로3가,111090,91930,79392,104086,"1호선, 3호선, 5호선",0.828,0.715,1.276,-17.248,Weekend-relative-strong,9,27
삼성(무역센터),123725,66956,49423,103993,2호선,0.541,0.399,0.835,-45.883,Balanced,10,192
건대입구,110226,93041,74432,103560,"2호선, 7호선",0.844,0.675,1.302,-15.59,Weekend-relative-strong,11,24
성수,112088,85527,70268,102488,2호선,0.763,0.627,1.177,-23.697,Balanced,12,41
시청,121004,59902,52160,100345,"1호선, 2호선",0.495,0.431,0.763,-50.496,Weekday-oriented,13,211
선릉,125904,44395,29651,98116,2호선,0.353,0.236,0.544,-64.739,Weekday-oriented,14,235
을지로입구,113134,66682,55709,97164,2호선,0.589,0.492,0.909,-41.059,Balanced,15,154
신도림,105871,80164,54160,95995,2호선,0.757,0.512,1.168,-24.282,Balanced,16,43
역삼,126467,35162,23410,95587,2호선,0.278,0.185,0.429,-72.197,Weekday-oriented,17,239
합정,98658,86681,61409,93372,"2호선, 6호선",0.879,0.622,1.355,-12.14,Weekend-relative-strong,18,18
서울대입구(관악구청),100988,66328,48814,88586,2호선,0.657,0.483,1.013,-34.32,Balanced,19,87
교대(법원.검찰청),108679,45362,30188,86899,"2호선, 3호선",0.417,0.278,0.644,-58.26,Weekday-oriented,20,232
노원,93595,65134,53357,83547,"4호선, 7호선",0.696,0.57,1.073,-30.409,Balanced,21,62
동대문역사문화공원(DDP),82855,66979,56483,77046,"2호선, 4호선, 5호선",0.808,0.682,1.247,-19.161,Weekend-relative-strong,22,28
가산디지털단지,101706,25232,20525,76109,7호선,0.248,0.202,0.383,-75.191,Weekday-oriented,23,240
신촌,82627,64255,46196,75596,2호선,0.778,0.559,1.199,-22.234,Balanced,24,36
천호(풍납토성),82983,62988,48072,75578,"5호선, 8호선",0.759,0.579,1.171,-24.095,Balanced,25,42
명동,77421,71711,66987,75282,4호선,0.926,0.865,1.429,-7.375,Weekend-relative-strong,26,13
종각,88896,44225,38734,73802,1호선,0.497,0.436,0.767,-50.251,Weekday-oriented,27,210
혜화,77916,66620,52353,73429,4호선,0.855,0.672,1.319,-14.498,Weekend-relative-strong,28,21
을지로3가,85146,46160,34814,71631,"2호선, 3호선",0.542,0.409,0.836,-45.788,Balanced,29,191
양재(서초구청),88166,40070,25338,71455,3호선,0.454,0.287,0.701,-54.552,Weekday-oriented,30,223
연신내,77596,55713,45607,69816,3호선,0.718,0.588,1.107,-28.201,Balanced,31,52
광화문(세종문화회관),77792,45870,43270,67074,5호선,0.59,0.556,0.909,-41.035,Balanced,32,152
수유(강북구청),74535,51564,43266,66488,4호선,0.692,0.58,1.067,-30.819,Balanced,33,64
대림(구로구청),71947,56049,46885,66200,"2호선, 7호선",0.779,0.652,1.201,-22.096,Weekend-relative-strong,34,33
공덕,77123,36854,27063,63264,"5호선, 6호선",0.478,0.351,0.737,-52.214,Weekday-oriented,35,215
동대문,66616,52184,48439,61637,"1호선, 4호선",0.783,0.727,1.208,-21.665,Weekend-relative-strong,36,32
압구정,70468,43978,29265,60921,3호선,0.624,0.415,0.963,-37.592,Balanced,37,119
충무로,72880,35551,29120,60170,4호선,0.488,0.4,0.752,-51.22,Weekday-oriented,38,213
남부터미널(예술의전당),68306,43716,33862,59641,3호선,0.64,0.496,0.987,-36.0,Balanced,39,106
회현(남대문시장),63522,38906,35732,55197,4호선,0.612,0.563,0.945,-38.753,Balanced,40,128
안국,59799,46439,41705,55124,3호선,0.777,0.697,1.198,-22.342,Balanced,41,39
여의도,68910,27170,19925,54696,5호선,0.394,0.289,0.608,-60.571,Weekday-oriented,42,233
쌍문,62011,40098,32847,54369,4호선,0.647,0.53,0.997,-35.337,Balanced,43,99
창동,60672,42065,33912,54079,4호선,0.693,0.559,1.069,-30.669,Balanced,44,63
경복궁(정부서울청사),56923,48247,43880,53819,3호선,0.848,0.771,1.307,-15.24,Weekend-relative-strong,45,23
영등포구청,64546,31598,22038,53126,"2호선, 5호선",0.49,0.341,0.755,-51.045,Weekday-oriented,46,212
