station_name,weekday_average,weekend_average,holiday_average,overall_average,lines,weekend_ratio,holiday_ratio,relative_weekend_index,weekend_change_rate,station_type,overall_volume_rank,weekend_index_rank
잠실(송파구청),211206,179183,152989,199227,"2호선, 8호선",0.848,0.724,1.308,-15.162,Weekend-relative-strong,1,22
서울역,189242,148344,122843,174357,"1호선, 4호선",0.784,0.649,1.209,-21.612,Weekend-relative-strong,2,31
홍대입구,149049,166315,137818,153290,2호선,1.116,0.925,1.721,11.584,Weekend-relative-strong,3,4
강남,180657,100064,67241,152231,2호선,0.554,0.372,0.854,-44.611,Balanced,4,183
사당,148914,114165,78169,135521,"2호선, 4호선",0.767,0.525,1.182,-23.334,Balanced,5,40
고속터미널,130341,139628,116039,132192,"3호선, 7호선",1.071,0.89,1.652,7.125,Weekend-relative-strong,6,6
구로디지털단지,128137,66398,51218,106880,2호선,0.518,0.4,0.799,-48.182,Weekday-oriented,7,203
신림,118273,85166,66620,106332,2호선,0.72,0.563,1.111,-27.992,Balanced,8,51
종로3가,111090,91930,79392,104086,"1호선, 3호선, 5호선",0.828,0.715,1.276,-17.248,Weekend-relative-strong,9,27
삼성(무역센터),123725,66956,49423,103993,2호선,0.541,0.399,0.835,-45.883,Balanced,10,192
건대입구,110226,93041,74432,103560,"2호선, 7호선",0.844,0.675,1.302,-15.59,Weekend-relative-strong,11,24
성수,112088,85527,70268,102488,2호선,0.763,0.627,1.177,-23.697,Balanced,12,41
시청,121004,59902,52160,100345,"1호선, 2호선",0.495,0.431,0.763,-50.496,Weekday-oriented,13,211
선릉,125904,44395,29651,98116,2호선,0.353,0.236,0.544,-64.739,Weekday-oriented,14,235
을지로입구,113134,66682,55709,97164,2호선,0.589,0.492,0.909,-41.059,Balanced,15,154
신도림,105871,80164,54160,95995,2호선,0.757,0.512,1.168,-24.282,Balanced,16,43
역삼,126467,35162,23410,95587,2호선,0.278,0.185,0.429,-72.197,Weekday-oriented,17,239
합정,98658,86681,61409,93372,"2호선, 6호선",0.879,0.622,1.355,-12.14,Weekend-relative-strong,18,18
서울대입구(관악구청),100988,66328,48814,88586,2호선,0.657,0.483,1.013,-34.32,Balanced,19,87
교대(법원.검찰청),108679,45362,30188,86899,"2호선, 3호선",0.417,0.278,0.644,-58.26,Weekday-oriented,20,232
