station_name,weekday_average,weekend_average,holiday_average,overall_average,lines,weekend_ratio,holiday_ratio,relative_weekend_index,weekend_change_rate,station_type,overall_volume_rank,weekend_index_rank
월드컵경기장(성산),10832,16488,10256,12382,6호선,1.522,0.947,2.348,52.217,Weekend-relative-strong,210,1
동묘앞,37487,44993,33418,39373,"1호선, 6호선",1.2,0.891,1.851,20.022,Weekend-relative-strong,78,2
이태원,24743,27910,22866,25530,6호선,1.128,0.924,1.74,12.801,Weekend-relative-strong,131,3
홍대입구,149049,166315,137818,153290,2호선,1.116,0.925,1.721,11.584,Weekend-relative-strong,3,4
종합운동장,28476,31483,17187,28729,2호선,1.106,0.604,1.705,10.561,Weekend-relative-strong,114,5
고속터미널,130341,139628,116039,132192,"3호선, 7호선",1.071,0.89,1.652,7.125,Weekend-relative-strong,6,6
올림픽공원(한국체대),10412,10945,6541,10360,5호선,1.051,0.628,1.621,5.115,Weekend-relative-strong,224,7
자양(뚝섬한강공원),19505,19569,19275,19511,7호선,1.003,0.988,1.547,0.327,Weekend-relative-strong,168,8
이촌(국립중앙박물관),22003,22032,20332,21924,4호선,1.001,0.924,1.544,0.13,Weekend-relative-strong,153,9
한강진,23321,23302,15254,22896,6호선,0.999,0.654,1.541,-0.084,Weekend-relative-strong,147,10
녹사평(용산구청),11143,10678,8217,10861,6호선,0.958,0.737,1.478,-4.173,Weekend-relative-strong,221,11
학여울,5165,4948,2100,4945,3호선,0.958,0.407,1.477,-4.216,Weekend-relative-strong,234,12
명동,77421,71711,66987,75282,4호선,0.926,0.865,1.429,-7.375,Weekend-relative-strong,26,13
상수,23145,20636,15543,22048,6호선,0.892,0.672,1.375,-10.837,Weekend-relative-strong,151,14
망원,34873,30896,24938,33245,6호선,0.886,0.715,1.366,-11.403,Weekend-relative-strong,95,15
여의나루,29288,25801,21402,27903,5호선,0.881,0.731,1.359,-11.906,Weekend-relative-strong,120,16
강변(동서울터미널),55421,48778,41118,52820,2호선,0.88,0.742,1.357,-11.986,Weekend-relative-strong,49,17
합정,98658,86681,61409,93372,"2호선, 6호선",0.879,0.622,1.355,-12.14,Weekend-relative-strong,18,18
삼각지(전쟁기념관),31165,27114,19130,29406,"4호선, 6호선",0.87,0.614,1.342,-12.997,Weekend-relative-strong,109,19
김포공항,21791,18771,17621,20730,5호선,0.861,0.809,1.329,-13.858,Weekend-relative-strong,157,20
