station_name,all_day_boarding,all_day_alighting,morning_boarding,morning_alighting,evening_boarding,evening_alighting,calculated_weekday_average,morning_net_inflow,evening_net_outflow,employment_flow,residential_flow,peak_direction_total,orientation_score,peak_concentration,lines,weekday_average,weekend_average,relative_weekend_index,station_type,weekday_average_difference,commute_pattern,orientation_rank,weekday_volume_rank
가산디지털단지,50789.5,50916.37704918033,3060.389344262295,34641.32786885246,29050.975409836065,3684.1106557377047,101705.87704918033,31580.938524590165,25366.86475409836,63692.30327868852,6744.5,70436.80327868852,0.8084950001687364,0.6925539145061252,7호선,101706,25232,0.383,Weekday-oriented,-0.1229508196702227,업무 유입형,1,19
시청,61126.60655737705,59877.32377049181,2219.3319672131147,35555.19672131148,29354.676229508197,4892.102459016393,121003.93032786885,33335.864754098366,24462.573770491803,64909.87295081967,7111.434426229508,72021.30737704918,0.8025185966425351,0.5951980830862458,"1호선, 2호선",121004,59902,0.763,Weekday-oriented,-0.06967213115422055,업무 유입형,2,11
학동,26522.0368852459,27398.877049180326,1283.0409836065573,16332.274590163934,13976.86475409836,2102.2991803278687,53920.91393442622,15049.233606557376,11874.565573770491,30309.139344262294,3385.340163934426,33694.47950819672,0.79905668742496,0.6248870252676525,7호선,53921,19540,0.559,Weekday-oriented,-0.08606557377788704,업무 유입형,3,56
역삼,59360.651639344265,67106.65573770492,2763.75,38421.598360655735,29917.90163934426,6053.036885245901,126467.30737704918,35657.848360655735,23864.86475409836,68339.5,8816.786885245901,77156.2868852459,0.77145642328903,0.6100887927914241,2호선,126467,35162,0.429,Weekday-oriented,0.30737704917555675,업무 유입형,4,8
종각,44838.67213114754,44057.62704918033,1149.438524590164,24391.885245901638,20446.77049180328,4718.36475409836,88896.29918032787,23242.446721311473,15728.40573770492,44838.65573770492,5867.803278688524,50706.45901639344,0.7685579552383471,0.5704001120849183,1호선,88896,44225,0.767,Weekday-oriented,0.29918032787099946,업무 유입형,5,23
회현(남대문시장),31091.47950819672,32430.909836065573,1071.8237704918033,13487.79918032787,12377.963114754099,2400.139344262295,63522.389344262294,12415.975409836066,9977.823770491803,25865.762295081968,3471.963114754098,29337.725409836065,0.7633106816392758,0.4618485814637578,4호선,63522,38906,0.945,Balanced,0.3893442622938892,업무 유입형,6,42
여의도,33484.55737704918,35425.40573770492,1591.4262295081967,21359.881147540982,17497.012295081968,3676.0450819672133,68909.9631147541,19768.454918032785,13820.967213114754,38856.89344262295,5267.47131147541,44124.364754098366,0.7612443220052858,0.6403190882662225,5호선,68910,27170,0.608,Weekday-oriented,-0.036885245906887576,업무 유입형,7,38
삼성(무역센터),61445.266393442624,62279.61885245902,2278.3524590163934,32194.024590163935,28728.024590163935,6193.799180327869,123724.88524590165,29915.67213114754,22534.225409836065,60922.04918032787,8472.151639344262,69394.20081967213,0.755825370440968,0.5608750469378252,2호선,123725,66956,0.835,Balanced,-0.1147540983511135,업무 유입형,8,10
광화문(세종문화회관),37826.598360655735,39965.35655737705,1370.6680327868853,22425.024590163935,18115.639344262294,4473.2213114754095,77791.95491803277,21054.35655737705,13642.418032786885,40540.66393442623,5843.889344262295,46384.55327868852,0.7480243343446284,0.5962641423211775,5호선,77792,45870,0.909,Balanced,-0.04508196722599678,업무 유입형,9,30
안국,29518.590163934427,30280.43442622951,1204.0983606557377,13143.22950819672,12018.786885245901,2778.5778688524592,59799.024590163935,11939.131147540982,9240.209016393443,25162.016393442624,3982.676229508197,29144.69262295082,0.7266962955463168,0.48737739156609416,3호선,59799,46439,1.198,Balanced,0.02459016393549973,업무 유입형,10,48
