commute_pattern,time_slot,time_order,average_boarding_share,average_alighting_share
업무 유입형,06시이전,0,0.002793314641502537,0.002181564951412382
업무 유입형,06-07시간대,1,0.0060446080183779805,0.015718364796100694
업무 유입형,07-08시간대,2,0.016241671067055517,0.04246289302961578
업무 유입형,08-09시간대,3,0.022313111004605722,0.10194592897056685
업무 유입형,09-10시간대,4,0.016004417252055543,0.05951640013530092
업무 유입형,10-11시간대,5,0.014250248878722005,0.030399439756968755
업무 유입형,11-12시간대,6,0.016627976738577455,0.023635398399598436
업무 유입형,12-13시간대,7,0.01839587237000379,0.022109401545537453
업무 유입형,13-14시간대,8,0.02065828081740741,0.023068658813144165
업무 유입형,14-15시간대,9,0.023788114417964454,0.020629959437789627
업무 유입형,15-16시간대,10,0.029296315856471435,0.0200595071271136
업무 유입형,16-17시간대,11,0.03839302024972048,0.02118684151879883
업무 유입형,17-18시간대,12,0.06333795093726809,0.02643087251954551
업무 유입형,18-19시간대,13,0.08488998800662234,0.033654062975086545
업무 유입형,19-20시간대,14,0.038476998689247865,0.020904174359274198
업무 유입형,20-21시간대,15,0.02868008808599392,0.012382702211106333
업무 유입형,21-22시간대,16,0.026381845207981473,0.010508013771979392
업무 유입형,22-23시간대,17,0.01967605633719351,0.009130487211312165
업무 유입형,23-24시간대,18,0.008361188917157517,0.005378970442529643
업무 유입형,24시이후,19,0.001647846067830627,0.002437444465459049
주거 유출·귀가형,06시이전,0,0.011297396829894708,0.0015639908631688677
주거 유출·귀가형,06-07시간대,1,0.026619256872421015,0.007868750618519873
주거 유출·귀가형,07-08시간대,2,0.07272280805189525,0.015873058567639448
주거 유출·귀가형,08-09시간대,3,0.08119431108814718,0.03302788235090091
주거 유출·귀가형,09-10시간대,4,0.04132514834172099,0.02022848679919975
주거 유출·귀가형,10-11시간대,5,0.025001759080899712,0.015823476478596235
주거 유출·귀가형,11-12시간대,6,0.02178921272189613,0.01624001652008834
주거 유출·귀가형,12-13시간대,7,0.022732336595383484,0.017877899782975507
주거 유출·귀가형,13-14시간대,8,0.021638037940884654,0.019657042970580622
주거 유출·귀가형,14-15시간대,9,0.02021986295107604,0.0204662957105956
주거 유출·귀가형,15-16시간대,10,0.022247786553601875,0.025533681467428206
주거 유출·귀가형,16-17시간대,11,0.026234698127154163,0.03131229196064828
주거 유출·귀가형,17-18시간대,12,0.02909573251651237,0.04313461726681268
주거 유출·귀가형,18-19시간대,13,0.0306809200065543,0.06943434108351748
주거 유출·귀가형,19-20시간대,14,0.016805490086363017,0.05243896378874163
주거 유출·귀가형,20-21시간대,15,0.012795637935692949,0.030320529335853018
주거 유출·귀가형,21-22시간대,16,0.011978751703134772,0.02644050607670454
주거 유출·귀가형,22-23시간대,17,0.008977823408380005,0.024389892343469253
주거 유출·귀가형,23-24시간대,18,0.003874743417425773,0.014170116744692684
주거 유출·귀가형,24시이후,19,0.001003464641910488,0.005962980398918183
혼합형,06시이전,0,0.006118239889134606,0.0020354449297864913
혼합형,06-07시간대,1,0.015080787626429955,0.011148799728784362
혼합형,07-08시간대,2,0.041988772154338584,0.026853473952201477
혼합형,08-09시간대,3,0.05149813725611838,0.05903305000563381
혼합형,09-10시간대,4,0.029436625465619582,0.03536296308549975
혼합형,10-11시간대,5,0.02108073804635385,0.023147718807958222
혼합형,11-12시간대,6,0.020405434152374727,0.020650062035960072
혼합형,12-13시간대,7,0.02230578445229924,0.02185021750023221
혼합형,13-14시간대,8,0.02262745531822194,0.02398847798097306
혼합형,14-15시간대,9,0.023147917417862412,0.022644291652417135
혼합형,15-16시간대,10,0.02767244176681538,0.02434632427113383
혼합형,16-17시간대,11,0.03377263823892526,0.02785084093980986
혼합형,17-18시간대,12,0.04407739685187872,0.03647399085235802
혼합형,18-19시간대,13,0.05138052197405196,0.05367957448265175
혼합형,19-20시간대,14,0.025299637186818894,0.03716196627002521
혼합형,20-21시간대,15,0.019590357884981754,0.02204084551252687
혼합형,21-22시간대,16,0.018695809414507474,0.019477857063644348
혼합형,22-23시간대,17,0.01622072979037877,0.01792221908891958
혼합형,23-24시간대,18,0.006917629746615433,0.010633474277544205
혼합형,24시이후,19,0.0016669863954241837,0.00471436653278861
