station_name,all_day_boarding,all_day_alighting,morning_boarding,morning_alighting,evening_boarding,evening_alighting,calculated_weekday_average,morning_net_inflow,evening_net_outflow,employment_flow,residential_flow,peak_direction_total,orientation_score,peak_concentration,lines,weekday_average,weekend_average,relative_weekend_index,station_type,weekday_average_difference,commute_pattern,orientation_rank,weekday_volume_rank,absolute_orientation_score
독립문,8555.668032786885,8808.032786885246,2117.3647540983607,2276.5696721311474,1647.311475409836,1866.5081967213114,17363.70081967213,159.20491803278674,-219.19672131147536,3923.8811475409834,3983.872950819672,7907.754098360656,-0.0075864528072674174,0.4554187025269176,3호선,17364,13496,1.199,Balanced,-0.29918032787099946,혼합형,90,191,0.0075864528072674174
홍대입구,71756.84426229508,77292.45901639345,8189.540983606557,12300.081967213115,18843.655737704918,21502.91393442623,149049.30327868852,4110.540983606557,-2659.258196721312,31143.737704918032,29692.45491803279,60836.192622950824,0.023855582085486042,0.40816153638236663,2호선,149049,166315,1.721,Weekend-relative-strong,0.30327868851600215,혼합형,89,4,0.023855582085486042
모란,5728.803278688525,4497.2213114754095,1183.7008196721313,995.7581967213115,1232.6147540983607,933.7418032786885,10226.024590163935,-187.94262295081978,298.87295081967216,2228.372950819672,2117.44262295082,4345.815573770492,0.02552577899034206,0.4249760535438751,8호선,10226,7966,1.201,Weekend-relative-strong,0.02459016393549973,혼합형,88,227,0.02552577899034206
수서,20790.967213114753,20682.168032786885,4846.389344262295,5526.5327868852455,5114.377049180327,5071.704918032787,41473.135245901634,680.1434426229507,42.67213114754031,10640.909836065573,9918.094262295082,20559.004098360656,0.035158102518600465,0.4957185893099869,3호선,41473,28654,1.066,Balanced,0.1352459016343346,혼합형,87,85,0.035158102518600465
장지,19165.905737704918,17697.33606557377,5665.536885245901,4731.377049180328,4912.184426229508,4698.110655737704,36863.24180327869,-934.1598360655735,214.07377049180377,9643.561475409835,10363.647540983606,20007.20901639344,-0.03599133017422614,0.5427414420891752,8호선,36863,22479,0.94,Balanced,0.24180327868816676,혼합형,91,100,0.03599133017422614
디지털미디어시티,16855.42213114754,18284.30737704918,6001.553278688525,5740.995901639344,4497.561475409836,5015.098360655738,35139.72950819672,-260.557377049181,-517.5368852459023,10238.55737704918,11016.651639344263,21255.20901639344,-0.03660722704232011,0.6048768534611354,6호선,35140,16498,0.724,Weekday-oriented,-0.2704918032832211,혼합형,92,106,0.03660722704232011
고려대(종암),10170.02049180328,9665.52049180328,2670.22131147541,2396.1680327868853,2313.995901639344,2434.1147540983607,19835.54098360656,-274.05327868852464,-120.11885245901658,4710.163934426229,5104.336065573771,9814.5,-0.040162222339145265,0.4947936639646668,6호선,19836,11697,0.909,Balanced,-0.4590163934408338,혼합형,93,183,0.040162222339145265
약수,18338.762295081968,17936.25,4474.516393442623,4255.733606557376,4323.565573770492,4823.725409836065,36275.012295081964,-218.78278688524642,-500.1598360655735,8579.299180327867,9298.241803278688,17877.540983606556,-0.040214849660257006,0.49283349205178156,"3호선, 6호선",36275,23304,0.991,Balanced,0.012295081964111887,혼합형,94,101,0.040214849660257006
이대,18927.463114754097,20621.389344262294,3869.4918032786886,4675.2172131147545,4727.655737704918,4741.786885245901,39548.85245901639,805.7254098360659,-14.131147540983875,9402.872950819672,8611.27868852459,18014.15163934426,0.043942911003712275,0.45549113360525273,2호선,39549,24946,0.973,Balanced,-0.1475409836129984,혼합형,86,90,0.043942911003712275
광흥창(서강),11051.33606557377,10601.91393442623,2919.4139344262294,3064.5450819672133,2909.061475409836,2530.590163934426,21653.25,145.13114754098387,378.47131147540995,5973.606557377049,5450.004098360656,11423.610655737706,0.04583511070148429,0.527570256462088,6호선,21653,11312,0.806,Balanced,0.25,혼합형,85,173,0.04583511070148429
구로디지털단지,64231.48770491803,63905.528688524595,18598.5368852459,20100.52868852459,18631.114754098362,16076.25,128137.01639344262,1501.9918032786918,2554.864754098362,38731.64344262295,34674.7868852459,73406.43032786885,0.05526568366364034,0.5728745088185572,2호선,128137,66398,0.799,Weekday-oriented,0.016393442623666488,혼합형,83,7,0.05526568366364034
영등포시장,13316.454918032787,13351.729508196722,3616.4795081967213,3840.9139344262294,3909.4467213114754,3300.1024590163934,26668.18442622951,224.43442622950806,609.344262295082,7750.360655737704,6916.581967213115,14666.942622950819,0.056847477348134806,0.5499790457623032,5호선,26668,17897,1.035,Balanced,0.18442622950897203,혼합형,82,145,0.056847477348134806
효창공원앞,8614.938524590163,7959.959016393443,2669.30737704918,2038.061475409836,2133.94262295082,2016.094262295082,16574.897540983606,-631.2459016393441,117.8483606557379,4172.004098360656,4685.401639344262,8857.405737704918,-0.057962518166931626,0.5343867565880164,6호선,16575,9596,0.893,Balanced,-0.10245901639427757,혼합형,95,198,0.057962518166931626
하남풍산,5150.069672131148,5121.077868852459,1278.6475409836066,1456.7868852459017,1300.2704918032787,1174.9590163934427,10271.147540983606,178.13934426229503,125.31147540983602,2757.05737704918,2453.6065573770493,5210.663934426229,0.05823649797624978,0.5073107862227472,5호선,10271,6654,0.999,Balanced,0.14754098360572243,혼합형,81,226,0.05823649797624978
한성대입구(삼선교),16066.204918032787,15468.610655737704,3931.5450819672133,3201.3237704918033,3532.213114754098,3810.2581967213114,31534.81557377049,-730.22131147541,-278.04508196721326,6733.536885245901,7741.803278688525,14475.340163934427,-0.0696540725139391,0.4590272655970275,4호선,31535,22158,1.084,Balanced,-0.18442622950897203,혼합형,96,126,0.0696540725139391
양평,9506.262295081968,9276.741803278688,3107.151639344262,3329.254098360656,3014.090163934426,2343.1393442622953,18783.004098360656,222.10245901639382,670.9508196721308,6343.344262295082,5450.290983606557,11793.63524590164,0.07572332534185051,0.6278886584990399,5호선,18783,7925,0.651,Weekday-oriented,0.004098360655916622,혼합형,80,186,0.07572332534185051
가락시장,19869.10655737705,20566.323770491803,4222.516393442623,5601.401639344263,5186.983606557377,5008.19262295082,40435.43032786885,1378.8852459016398,178.79098360655735,10788.38524590164,9230.709016393443,20019.094262295082,0.07780952570077053,0.49508794885997665,"3호선, 8호선",40435,23113,0.882,Balanced,0.4303278688530554,혼합형,79,86,0.07780952570077053
