station_name,all_day_boarding,all_day_alighting,morning_boarding,morning_alighting,evening_boarding,evening_alighting,calculated_weekday_average,morning_net_inflow,evening_net_outflow,employment_flow,residential_flow,peak_direction_total,orientation_score,peak_concentration,lines,weekday_average,weekend_average,relative_weekend_index,station_type,weekday_average_difference,commute_pattern,orientation_rank,weekday_volume_rank
까치산,30343.63524590164,29309.70491803279,14617.844262295082,1954.7581967213114,2960.9508196721313,11635.77049180328,59653.34016393443,-12663.08606557377,-8674.819672131149,4915.709016393443,26253.614754098362,31169.323770491806,-0.6845803231029878,0.5225076028405924,5호선,59653,38299,0.99,Balanced,0.3401639344301657,주거 유출·귀가형,239,49
마들,15048.442622950819,14329.967213114754,6912.2172131147545,1231.9426229508197,1361.8360655737706,5386.684426229508,29378.409836065573,-5680.274590163935,-4024.8483606557375,2593.7786885245905,12298.901639344262,14892.680327868853,-0.6516706688894918,0.5069260184935631,7호선,29378,17048,0.895,Balanced,0.4098360655734723,주거 유출·귀가형,238,131
신정네거리,11385.418032786885,11761.409836065573,5190.569672131147,955.2622950819672,1176.1311475409836,4769.704918032787,23146.82786885246,-4235.30737704918,-3593.573770491803,2131.3934426229507,9960.274590163934,12091.668032786885,-0.6474608074181957,0.5223898540783657,2호선,23147,13966,0.931,Balanced,-0.17213114754122216,주거 유출·귀가형,237,163
산성,6910.426229508197,7049.413934426229,3325.909836065574,643.3032786885246,692.7622950819672,2770.1598360655735,13959.840163934427,-2682.6065573770493,-2077.397540983606,1336.065573770492,6096.069672131147,7432.135245901639,-0.6404625240082252,0.5323940072826001,8호선,13960,8588,0.949,Balanced,-0.1598360655734723,주거 유출·귀가형,236,211
녹번,17029.323770491803,15679.057377049181,8222.88524590164,1440.967213114754,1816.6024590163936,6141.368852459016,32708.381147540982,-6781.918032786885,-4324.766393442623,3257.569672131148,14364.254098360656,17621.823770491803,-0.6302800760513755,0.5387556079588064,3호선,32708,18697,0.882,Balanced,0.38114754098205594,주거 유출·귀가형,234,118
신정(은행정),15050.553278688525,12446.930327868853,7514.663934426229,1231.688524590164,1553.2581967213114,4685.516393442623,27497.483606557376,-6282.975409836065,-3132.2581967213114,2784.9467213114754,12200.180327868853,14985.127049180328,-0.6283052239501955,0.5449635778892435,5호선,27497,16083,0.902,Balanced,0.4836065573763335,주거 유출·귀가형,233,139
신대방,27353.11475409836,26312.241803278688,12652.233606557376,2237.377049180328,3062.7295081967213,9225.901639344262,53665.35655737705,-10414.856557377048,-6163.17213114754,5300.106557377049,21878.135245901638,27178.241803278688,-0.6099742878336107,0.5064392290810683,2호선,53665,37512,1.078,Balanced,0.3565573770465562,주거 유출·귀가형,231,59
응암,19860.389344262294,19702.282786885247,8944.475409836066,1790.2377049180327,2241.254098360656,7522.704918032787,39562.67213114754,-7154.237704918034,-5281.450819672131,4031.4918032786886,16467.180327868853,20498.67213114754,-0.6066582481552184,0.518131638408949,6호선,39563,24752,0.965,Balanced,-0.32786885245877784,주거 유출·귀가형,230,89
신림,59696.20081967213,58576.94672131148,26135.45081967213,4519.905737704918,7279.401639344263,21887.659836065573,118273.1475409836,-21615.54508196721,-14608.258196721312,11799.30737704918,48023.110655737706,59822.41803278688,-0.6055222184237913,0.5057988163548064,2호선,118273,85166,1.111,Balanced,0.14754098359844647,주거 유출·귀가형,229,12
쌍문,32006.594262295082,30004.639344262294,13635.08606557377,2605.7663934426228,3546.0532786885246,10908.967213114754,62011.233606557376,-11029.319672131147,-7362.913934426229,6151.819672131147,24544.053278688523,30695.87295081967,-0.5991761054010438,0.49500503643542637,4호선,62011,40098,0.997,Balanced,0.2336065573763335,주거 유출·귀가형,228,43
증산(명지대앞),10365.245901639344,10326.16393442623,4535.315573770492,977.3237704918033,1218.5532786885246,3872.995901639344,20691.409836065573,-3557.9918032786886,-2654.4426229508194,2195.877049180328,8408.311475409835,10604.188524590163,-0.5858472255395525,0.5124923148594174,6호선,20691,13451,1.003,Balanced,0.4098360655734723,주거 유출·귀가형,227,177
마천,8160.356557377049,7257.065573770492,3936.5737704918033,849.217213114754,865.5901639344263,2580.504098360656,15417.422131147541,-3087.3565573770493,-1714.9139344262296,1714.8073770491803,6517.077868852459,8231.88524590164,-0.583374324149399,0.5339339596384866,5호선,15417,9156,0.916,Balanced,0.42213114754122216,주거 유출·귀가형,226,203
양천구청,7692.061475409836,8136.237704918033,3429.655737704918,833.672131147541,889.127049180328,3099.262295081967,15828.29918032787,-2595.9836065573772,-2210.135245901639,1722.799180327869,6528.918032786885,8251.717213114754,-0.5824386280252645,0.5213268411915264,2호선,15828,8938,0.871,Balanced,0.2991803278691805,주거 유출·귀가형,225,201
행당,8962.532786885246,8041.4672131147545,4152.520491803279,837.4426229508197,1041.0081967213114,2963.9180327868853,17004.0,-3315.077868852459,-1922.909836065574,1878.450819672131,7116.438524590164,8994.889344262296,-0.5823293099496846,0.5289866704459125,5호선,17004,9992,0.906,Balanced,0.0,주거 유출·귀가형,224,194
암사,18134.75,16776.02868852459,8218.090163934427,1701.844262295082,2149.180327868852,6305.114754098361,34910.77868852459,-6516.245901639344,-4155.934426229509,3851.024590163934,14523.204918032789,18374.229508196724,-0.580823284214884,0.526319669696639,8호선,34911,21428,0.947,Balanced,-0.22131147541222163,주거 유출·귀가형,223,107
도봉산,9988.553278688525,11334.045081967213,4751.745901639344,1286.4754098360654,1033.1147540983607,3968.7745901639346,21322.59836065574,-3465.2704918032787,-2935.659836065574,2319.590163934426,8720.52049180328,11040.110655737706,-0.5797886024396138,0.5177657276567577,7호선,21323,14542,1.052,Balanced,-0.40163934426163905,주거 유출·귀가형,222,175
새절(신사),14167.918032786885,13273.803278688525,6353.008196721312,1431.3934426229507,1575.97131147541,4847.704918032787,27441.721311475412,-4921.614754098361,-3271.733606557377,3007.3647540983607,11200.713114754099,14208.077868852459,-0.5766683175785191,0.5177546155937023,6호선,27442,16323,0.917,Balanced,-0.2786885245877784,주거 유출·귀가형,221,141
봉천,27232.245901639344,25604.323770491803,12243.89344262295,2564.4836065573772,3293.2704918032787,9186.409836065573,52836.56967213115,-9679.409836065573,-5893.139344262295,5857.754098360656,21430.303278688523,27288.05737704918,-0.5706726926419201,0.5164615633902965,2호선,52837,33216,0.97,Balanced,-0.4303278688530554,주거 유출·귀가형,220,61
화곡,31547.59836065574,29497.864754098362,14178.032786885246,3082.1352459016393,3996.4713114754095,11467.954918032787,61045.4631147541,-11095.897540983606,-7471.483606557377,7078.606557377048,25645.987704918032,32724.594262295082,-0.567383081932787,0.5360692276308714,5호선,61045,37217,0.94,Balanced,0.4631147541003884,주거 유출·귀가형,219,45
천왕,13314.684426229509,12876.22131147541,6293.385245901639,1573.4180327868853,1522.4180327868853,4831.081967213115,26190.905737704918,-4719.967213114754,-3308.6639344262294,3095.8360655737706,11124.467213114753,14220.303278688523,-0.5645893051784074,0.5429481294423777,7호선,26191,13563,0.799,Weekday-oriented,-0.09426229508244433,주거 유출·귀가형,218,147
