station_name,all_day_boarding,all_day_alighting,morning_boarding,morning_alighting,evening_boarding,evening_alighting,calculated_weekday_average,morning_net_inflow,evening_net_outflow,employment_flow,residential_flow,peak_direction_total,orientation_score,peak_concentration,lines,weekday_average,weekend_average,relative_weekend_index,station_type,weekday_average_difference,commute_pattern,orientation_rank,weekday_volume_rank
잠실(송파구청),104189,107017,18872,25693,29487,27582,211206,6821,1905,55181,46454,101635,0.086,0.481,"2호선, 8호선",211206,179183,1.308,Weekend-relative-strong,-0.389,혼합형,78,1
서울역,91973,97270,16231,31466,29995,20054,189242,15235,9941,61462,36286,97747,0.258,0.517,"1호선, 4호선",189242,148344,1.209,Weekend-relative-strong,0.459,업무 유입형,55,2
강남,91108,89549,6638,35735,33515,16614,180657,29096,16901,69250,23252,92502,0.497,0.512,2호선,180657,100064,0.854,Balanced,-0.303,업무 유입형,33,3
홍대입구,71757,77292,8190,12300,18844,21503,149049,4111,-2659,31144,29692,60836,0.024,0.408,2호선,149049,166315,1.721,Weekend-relative-strong,0.303,혼합형,89,4
사당,73952,74962,20343,11160,14765,26356,148914,-9183,-11591,25925,46699,72624,-0.286,0.488,"2호선, 4호선",148914,114165,1.182,Balanced,-0.365,주거 유출·귀가형,140,5
고속터미널,67491,62851,7017,13400,18772,13082,130341,6382,5691,32172,20099,52271,0.231,0.401,"3호선, 7호선",130341,139628,1.652,Weekend-relative-strong,0.451,업무 유입형,58,6
구로디지털단지,64231,63906,18599,20101,18631,16076,128137,1502,2555,38732,34675,73406,0.055,0.573,2호선,128137,66398,0.799,Weekday-oriented,0.016,혼합형,83,7
역삼,59361,67107,2764,38422,29918,6053,126467,35658,23865,68340,8817,77156,0.771,0.61,2호선,126467,35162,0.429,Weekday-oriented,0.307,업무 유입형,4,8
선릉,66973,58931,3979,28889,29218,6442,125904,24909,22776,58106,10421,68527,0.696,0.544,2호선,125904,44395,0.544,Weekday-oriented,0.299,업무 유입형,13,9
삼성(무역센터),61445,62280,2278,32194,28728,6194,123725,29916,22534,60922,8472,69394,0.756,0.561,2호선,123725,66956,0.835,Balanced,-0.115,업무 유입형,8,10
시청,61127,59877,2219,35555,29355,4892,121004,33336,24463,64910,7111,72021,0.803,0.595,"1호선, 2호선",121004,59902,0.763,Weekday-oriented,-0.07,업무 유입형,2,11
신림,59696,58577,26135,4520,7279,21888,118273,-21616,-14608,11799,48023,59822,-0.606,0.506,2호선,118273,85166,1.111,Balanced,0.148,주거 유출·귀가형,229,12
을지로입구,55572,57561,2208,28564,24690,7407,113134,26356,17284,53254,9615,62869,0.694,0.556,2호선,113134,66682,0.909,Balanced,-0.102,업무 유입형,14,13
성수,53965,58123,3011,22597,24309,8341,112088,19586,15969,46906,11352,58258,0.61,0.52,2호선,112088,85527,1.177,Balanced,-0.164,업무 유입형,20,14
종로3가,56180,54910,2163,15309,19115,8967,111090,13146,10147,34424,11130,45554,0.511,0.41,"1호선, 3호선, 5호선",111090,91930,1.276,Weekend-relative-strong,0.5,업무 유입형,30,15
건대입구,54067,56159,10964,9537,12298,17055,110226,-1427,-4757,21835,28019,49854,-0.124,0.452,"2호선, 7호선",110226,93041,1.302,Weekend-relative-strong,-0.352,혼합형,110,16
교대(법원.검찰청),54947,53731,5568,20222,19700,9147,108679,14654,10553,39922,14715,54636,0.461,0.503,"2호선, 3호선",108679,45362,0.644,Weekday-oriented,-0.205,업무 유입형,36,17
신도림,54066,51805,16653,9406,11059,16172,105871,-7247,-5113,20464,32825,53289,-0.232,0.503,2호선,105871,80164,1.168,Balanced,-0.033,주거 유출·귀가형,128,18
가산디지털단지,50790,50916,3060,34641,29051,3684,101706,31581,25367,63692,6744,70437,0.808,0.693,7호선,101706,25232,0.383,Weekday-oriented,-0.123,업무 유입형,1,19
서울대입구(관악구청),51450,49538,18142,6703,8790,16494,100988,-11439,-7703,15493,34635,50128,-0.382,0.496,2호선,100988,66328,1.013,Balanced,-0.098,주거 유출·귀가형,165,20
합정,47769,50890,7178,12877,14319,14221,98658,5699,99,27196,21398,48594,0.119,0.493,"2호선, 6호선",98658,86681,1.355,Weekend-relative-strong,0.037,혼합형,71,21
노원,44787,48807,10675,7815,8398,14807,93595,-2860,-6409,16213,25482,41695,-0.222,0.445,"4호선, 7호선",93595,65134,1.073,Balanced,-0.25,주거 유출·귀가형,127,22
