station_name,cluster_id,distance_to_centroid,silhouette_sample,pc1,pc2,lines,weekday_average,relative_weekend_index,station_type,orientation_score,peak_concentration,commute_pattern,cluster_name
남부터미널(예술의전당),0,0.02059517714372199,0.5475215337233529,0.09132482166851856,0.00958251732861901,3호선,68306,0.987,Balanced,0.428,0.546,업무 유입형,군집 0: 업무 유입 중심
발산,0,0.02074019586278791,0.526540794865758,0.08432942978696004,0.010741473230616208,5호선,52993,0.873,Balanced,0.383,0.536,업무 유입형,군집 0: 업무 유입 중심
방배,0,0.022678659768458766,0.4513950274662625,0.06385889018192524,-0.0073017961586328535,2호선,40077,0.715,Weekday-oriented,0.291,0.499,업무 유입형,군집 0: 업무 유입 중심
내방,0,0.02418989421857957,0.5030393555849456,0.0786806004114782,0.017856413606657236,7호선,33856,0.698,Weekday-oriented,0.344,0.556,업무 유입형,군집 0: 업무 유입 중심
마곡,0,0.024359253434550362,0.46967447624422526,0.07001209907513788,0.016268150764312077,5호선,31837,0.748,Weekday-oriented,0.306,0.553,업무 유입형,군집 0: 업무 유입 중심
교대(법원.검찰청),0,0.02483404051400876,0.5474968339183905,0.09329568924095018,-0.012824169297768301,"2호선, 3호선",108679,0.644,Weekday-oriented,0.461,0.503,업무 유입형,군집 0: 업무 유입 중심
서울역,0,0.028120075151502152,0.4046676515132214,0.05697378579373576,-0.0029593015227691775,"1호선, 4호선",189242,1.209,Weekend-relative-strong,0.258,0.517,업무 유입형,군집 0: 업무 유입 중심
공덕,0,0.029142722189528302,0.48466875579833707,0.07666035887450029,0.020707987639620104,"5호선, 6호선",77123,0.737,Weekday-oriented,0.329,0.568,업무 유입형,군집 0: 업무 유입 중심
신용산,0,0.03054650272102892,0.5492636080641737,0.09898261740658827,-0.006238611433468098,4호선,47452,1.132,Balanced,0.458,0.536,업무 유입형,군집 0: 업무 유입 중심
동대문역사문화공원(DDP),0,0.031394627931643215,0.49294527677891975,0.07981998646238768,-0.025787918757613378,"2호선, 4호선, 5호선",82855,1.247,Weekend-relative-strong,0.432,0.458,업무 유입형,군집 0: 업무 유입 중심
둔촌동,1,0.013278754541543787,0.6863007635498979,-0.046195767559279684,0.000315036095613066,5호선,28009,0.97,Balanced,-0.363,0.516,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
중화,1,0.013394824214735052,0.7062526527906843,-0.053297300035393506,0.005950439144725062,7호선,23790,0.953,Balanced,-0.391,0.508,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
송파,1,0.014566387959262708,0.675395966013201,-0.0417890033496188,0.00029815655953741114,8호선,21806,0.89,Balanced,-0.338,0.509,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
아차산(어린이대공원후문),1,0.015621247975271785,0.6727851284602064,-0.04150744513758662,-0.003662385100564969,5호선,31616,1.199,Balanced,-0.348,0.498,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
월곡(동덕여대),1,0.017023562736513866,0.6582581461495253,-0.037688353036275185,0.004560726607908515,6호선,27073,0.811,Balanced,-0.309,0.513,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
굽은다리(강동구민회관앞),1,0.01760062500847643,0.7085427500171263,-0.05951567844396964,-0.00522144403774915,5호선,21459,1.043,Balanced,-0.449,0.487,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
아현,1,0.017747261615533434,0.6661834670431569,-0.04086019531107622,-0.004392477114349851,2호선,23662,0.981,Balanced,-0.326,0.496,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
신풍,1,0.019077496744643926,0.7050340681909981,-0.059517839355640596,0.00623380888716871,7호선,25772,0.971,Balanced,-0.428,0.519,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
신금호,1,0.019129754752822182,0.6849682053500239,-0.05130329725687181,0.0028620017551900328,5호선,14634,0.875,Balanced,-0.386,0.522,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
먹골,1,0.01934351368551741,0.7100287518349306,-0.06133298753311527,-0.004303126166168292,7호선,22514,0.997,Balanced,-0.462,0.494,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
