station_name,cluster_id,distance_to_centroid,silhouette_sample,pc1,pc2,lines,weekday_average,relative_weekend_index,station_type,orientation_score,peak_concentration,commute_pattern,cluster_name
가락시장,0,0.05420643206094446,0.10179292539908426,0.029886031199772452,-0.0015852925570437252,"3호선, 8호선",40435,0.882,Balanced,0.078,0.495,혼합형,군집 0: 업무 유입 중심
가산디지털단지,0,0.13395794922226595,0.4291534952827148,0.1881662153514675,0.07481992306159607,7호선,101706,0.383,Weekday-oriented,0.808,0.693,업무 유입형,군집 0: 업무 유입 중심
강남,0,0.045291239044868155,0.5090496569694906,0.09833931007158145,-0.02102074012824377,2호선,180657,0.854,Balanced,0.497,0.512,업무 유입형,군집 0: 업무 유입 중심
강남구청,0,0.0802441687579925,0.507181852899966,0.14314898201149062,0.01284847964055983,7호선,38849,0.718,Weekday-oriented,0.707,0.57,업무 유입형,군집 0: 업무 유입 중심
강동,1,0.03600461029609444,0.521305063907496,-0.016386417514899387,0.015593987477630127,5호선,41583,0.926,Balanced,-0.149,0.531,혼합형,군집 1: 주거 유출·귀가 중심
강동구청,1,0.041300598591465544,0.475451694621346,-0.011564361073788864,0.015068039024836844,8호선,24472,0.803,Balanced,-0.151,0.532,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
강변(동서울터미널),1,0.03041037519582007,0.6321031621131579,-0.04536226589320087,-0.014483533169714128,2호선,55421,1.357,Weekend-relative-strong,-0.382,0.482,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
강일,1,0.04342390738454879,0.6632205295324283,-0.07888368754642339,0.01798476179751646,5호선,13259,0.906,Balanced,-0.513,0.523,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
개롱,1,0.020831777969643594,0.6484517951767834,-0.03850489544316124,0.003735069366597064,5호선,15187,0.895,Balanced,-0.307,0.504,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
개화산,1,0.022647652748804297,0.6560195112656598,-0.04395482124218387,0.01622251977785448,5호선,13440,0.907,Balanced,-0.312,0.518,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
거여,1,0.03237000481551535,0.6919642749523199,-0.07125868775525315,0.016642679256918022,5호선,22661,0.833,Balanced,-0.474,0.531,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
건대입구,1,0.06923702028917249,0.2463801856295603,0.002984266083082634,-0.037599561060538064,"2호선, 7호선",110226,1.302,Weekend-relative-strong,-0.124,0.452,혼합형,군집 1: 주거 유출·귀가 중심
경복궁(정부서울청사),0,0.03864188226729819,0.5597814596516858,0.11155140782151539,-0.00859037713515442,3호선,56923,1.307,Weekend-relative-strong,0.57,0.493,업무 유입형,군집 0: 업무 유입 중심
경찰병원,1,0.04966236686511563,0.40005893026911715,-0.006088535494521652,0.02192358348549146,3호선,17149,0.712,Weekday-oriented,-0.111,0.548,혼합형,군집 1: 주거 유출·귀가 중심
고덕,1,0.053751040263431575,0.3818289224101364,-0.008031046364615347,-0.020144677727084063,5호선,23513,0.833,Balanced,-0.12,0.459,혼합형,군집 1: 주거 유출·귀가 중심
고려대(종암),1,0.05853266149383957,0.25283628817381354,0.006727913106052501,-0.0029901943485098974,6호선,19836,0.909,Balanced,-0.04,0.495,혼합형,군집 1: 주거 유출·귀가 중심
고속터미널,0,0.07471172584547789,0.242892064706142,0.048187015926980374,-0.06407655173074246,"3호선, 7호선",130341,1.652,Weekend-relative-strong,0.231,0.401,업무 유입형,군집 0: 업무 유입 중심
공덕,0,0.029142722189528302,0.48466875579833707,0.07666035887450029,0.020707987639620104,"5호선, 6호선",77123,0.737,Weekday-oriented,0.329,0.568,업무 유입형,군집 0: 업무 유입 중심
공릉(서울과학기술대),1,0.022189652002975645,0.6280876169598342,-0.031711574674088444,-0.009704389714313687,7호선,27490,0.988,Balanced,-0.283,0.485,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
광나루(장신대),1,0.041272895551146264,0.4564182795496588,-0.008524472507620456,-0.001033332168141379,5호선,24426,1.119,Balanced,-0.143,0.492,혼합형,군집 1: 주거 유출·귀가 중심
광명사거리,1,0.024949172624880115,0.6990662283616805,-0.06558573648508,-0.006062045919448984,7호선,46677,1.047,Balanced,-0.487,0.494,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
광화문(세종문화회관),0,0.09982993651337069,0.49411512932789103,0.1672635233787169,0.0411617308510796,5호선,77792,0.909,Balanced,0.748,0.596,업무 유입형,군집 0: 업무 유입 중심
광흥창(서강),0,0.06293690550730034,-0.0627144385877341,0.02036568293581266,0.0113427649183036,6호선,21653,0.806,Balanced,0.046,0.528,혼합형,군집 0: 업무 유입 중심
교대(법원.검찰청),0,0.02483404051400876,0.5474968339183905,0.09329568924095018,-0.012824169297768301,"2호선, 3호선",108679,0.644,Weekday-oriented,0.461,0.503,업무 유입형,군집 0: 업무 유입 중심
구로디지털단지,0,0.07044473215600795,-0.0648648262612852,0.020677255232505368,0.0288176900566807,2호선,128137,0.799,Weekday-oriented,0.055,0.573,혼합형,군집 0: 업무 유입 중심
구산,1,0.04539635300715543,0.659462835831413,-0.08315919538401931,0.007339842647460282,6호선,16272,0.954,Balanced,-0.556,0.506,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
구의(광진구청),1,0.02834591837953117,0.6738720200752203,-0.05860744566660763,0.0030454240467447857,2호선,58046,0.959,Balanced,-0.443,0.519,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
구파발,1,0.024468284809008752,0.6950869147796521,-0.06317047886010574,-0.004497020756839013,3호선,47450,1.046,Balanced,-0.461,0.487,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
군자(능동),1,0.02677290373171553,0.6170201520195244,-0.03357579016478235,-0.0012652466902311561,"5호선, 7호선",57761,1.028,Balanced,-0.295,0.519,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
굽은다리(강동구민회관앞),1,0.01760062500847643,0.7085427500171263,-0.05951567844396964,-0.00522144403774915,5호선,21459,1.043,Balanced,-0.449,0.487,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
금호,1,0.03446032871877602,0.6920545122152575,-0.0767239674350238,-0.0004694796965789872,3호선,17397,0.984,Balanced,-0.541,0.508,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
길동,1,0.02798673454014762,0.5959310153778374,-0.027507564711115824,-0.011275781247142342,5호선,19945,1.007,Balanced,-0.267,0.479,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
길음,1,0.02292111662122894,0.7131971305963747,-0.06709250769329696,0.0035869489385052474,4호선,48074,0.928,Balanced,-0.478,0.506,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
김포공항,0,0.0747417713243695,0.14983266828612068,0.036894641729737124,-0.024604287820379673,5호선,21791,1.329,Weekend-relative-strong,0.173,0.449,업무 유입형,군집 0: 업무 유입 중심
까치산,1,0.060554759009917,0.6447467938404966,-0.10593718942699004,0.010552980841360882,5호선,59653,0.99,Balanced,-0.685,0.523,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
낙성대(강감찬),1,0.03097927904039454,0.6700396473064654,-0.06119742580817118,0.005366187916033358,2호선,60054,1.042,Balanced,-0.437,0.522,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
남구로,0,0.05785596451544924,0.40742477915582603,0.0782120589413734,0.05029027439521779,7호선,34669,0.731,Weekday-oriented,0.344,0.608,업무 유입형,군집 0: 업무 유입 중심
남부터미널(예술의전당),0,0.02059517714372199,0.5475215337233529,0.09132482166851856,0.00958251732861901,3호선,68306,0.987,Balanced,0.428,0.546,업무 유입형,군집 0: 업무 유입 중심
남성,1,0.03112918405252779,0.6956148071024002,-0.07241071154741396,0.00022359085174687167,7호선,24740,0.91,Balanced,-0.531,0.509,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
남위례,1,0.041378984647411195,0.47761281928953386,-0.012403313729481304,0.016458999351783847,8호선,17002,0.863,Balanced,-0.162,0.545,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
남태령,0,0.07995288025257201,0.25564142042697285,0.05852256861205595,0.022433131551978566,4호선,3054,0.939,Balanced,0.337,0.539,업무 유입형,군집 0: 업무 유입 중심
남한산성입구(성남법원.검찰청),1,0.027715625780558164,0.676853132072998,-0.058897886334038904,0.01647301381845405,8호선,28609,0.845,Balanced,-0.39,0.527,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
내방,0,0.02418989421857957,0.5030393555849456,0.0786806004114782,0.017856413606657236,7호선,33856,0.698,Weekday-oriented,0.344,0.556,업무 유입형,군집 0: 업무 유입 중심
노원,1,0.05130229947040728,0.4348785914528987,-0.01432996774717964,-0.0336504304395335,"4호선, 7호선",93595,1.073,Balanced,-0.222,0.445,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
녹번,1,0.05653750994116218,0.6543198108134881,-0.10031317140692726,0.019817214421974826,3호선,32708,0.882,Balanced,-0.63,0.539,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
녹사평(용산구청),0,0.04369010910928686,0.36077392502037076,0.056487709846025684,-0.020516748012100176,6호선,11143,1.478,Weekend-relative-strong,0.23,0.48,업무 유입형,군집 0: 업무 유입 중심
논현,0,0.061120659380366316,0.5363074533913478,0.12802782608152674,0.006966152586437464,7호선,43864,0.697,Weekday-oriented,0.621,0.565,업무 유입형,군집 0: 업무 유입 중심
단대오거리,1,0.02817475547756272,0.7011351348108074,-0.06889804078349036,0.015447732361865484,8호선,26544,0.889,Balanced,-0.452,0.534,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
답십리,1,0.030545598532897157,0.6349912713609472,-0.046079941672071204,0.0243852230216693,5호선,35663,0.858,Balanced,-0.317,0.559,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
당산,1,0.06054563476855969,0.3000792741937532,0.001902837837201136,0.020334256068226458,2호선,44923,0.868,Balanced,-0.082,0.549,혼합형,군집 1: 주거 유출·귀가 중심
대림(구로구청),1,0.0376361337364512,0.5494514226765863,-0.027013446873060468,-0.009672728500785596,"2호선, 7호선",71947,1.201,Weekend-relative-strong,-0.252,0.461,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
대청,1,0.039777743398675416,0.5008059713646298,-0.01658676192311586,0.012442746009704493,3호선,24045,0.784,Weekday-oriented,-0.145,0.523,혼합형,군집 1: 주거 유출·귀가 중심
대치,1,0.06698761589866613,0.2914504346121025,-0.0022607213034349445,-0.023022413453477275,3호선,27686,0.987,Balanced,-0.114,0.471,혼합형,군집 1: 주거 유출·귀가 중심
대흥(서강대앞),0,0.049254463875295085,0.19862951003914375,0.03633560186949188,-0.014021701277653094,6호선,22421,0.851,Balanced,0.117,0.488,혼합형,군집 0: 업무 유입 중심
도곡,0,0.05048113887209691,0.18883899998269754,0.0364495175760465,0.004045853020318796,3호선,13991,0.771,Weekday-oriented,0.163,0.527,업무 유입형,군집 0: 업무 유입 중심
도림천,0,0.0710468100233773,-0.08722235733536793,0.01825947508142282,0.014894611284727261,2호선,3146,0.895,Balanced,0.048,0.525,혼합형,군집 0: 업무 유입 중심
도봉산,1,0.058605110135153876,0.6206404603807685,-0.08945437878636432,0.014622641657667036,7호선,21323,1.052,Balanced,-0.58,0.518,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
독립문,1,0.06994454544469449,0.16640650963111742,0.010329150700081488,-0.016156246456890705,3호선,17364,1.199,Balanced,-0.008,0.455,혼합형,군집 1: 주거 유출·귀가 중심
독바위,1,0.053420704566521836,0.660445697021722,-0.09731724463798276,0.010374396286990063,6호선,6201,1.012,Balanced,-0.635,0.515,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
돌곶이,1,0.030409718495967436,0.70175437621671,-0.07240768660188703,0.01297798956030691,6호선,24444,0.877,Balanced,-0.486,0.523,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
동대문,0,0.06887392366464043,0.3274082040946788,0.061439212146520136,-0.055731101146611776,"1호선, 4호선",66616,1.208,Weekend-relative-strong,0.392,0.385,업무 유입형,군집 0: 업무 유입 중심
동대문역사문화공원(DDP),0,0.031394627931643215,0.49294527677891975,0.07981998646238768,-0.025787918757613378,"2호선, 4호선, 5호선",82855,1.247,Weekend-relative-strong,0.432,0.458,업무 유입형,군집 0: 업무 유입 중심
동대입구,0,0.043076101774447526,0.5195545610514212,0.1003307891826737,-0.025080434479474698,3호선,25303,1.201,Weekend-relative-strong,0.497,0.464,업무 유입형,군집 0: 업무 유입 중심
동묘앞,0,0.08429306556181461,0.051635344366433196,0.025627346924518842,-0.051299099146631895,"1호선, 6호선",37487,1.851,Weekend-relative-strong,0.097,0.382,혼합형,군집 0: 업무 유입 중심
동작(현충원),0,0.08681935643651113,0.22025052772605483,0.05241137982950388,-0.03700301203838332,4호선,5086,1.14,Balanced,0.266,0.423,업무 유입형,군집 0: 업무 유입 중심
둔촌동,1,0.013278754541543787,0.6863007635498979,-0.046195767559279684,0.000315036095613066,5호선,28009,0.97,Balanced,-0.363,0.516,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
디지털미디어시티,1,0.069265601266315,0.25723779030679417,0.0029026637999674493,0.04610390522737574,6호선,35140,0.724,Weekday-oriented,-0.037,0.605,혼합형,군집 1: 주거 유출·귀가 중심
뚝섬,0,0.0491674290562049,0.548460395960825,0.11688284198220046,0.015055709025553591,2호선,57177,0.944,Balanced,0.547,0.568,업무 유입형,군집 0: 업무 유입 중심
마곡,0,0.024359253434550362,0.46967447624422526,0.07001209907513788,0.016268150764312077,5호선,31837,0.748,Weekday-oriented,0.306,0.553,업무 유입형,군집 0: 업무 유입 중심
마들,1,0.056742372479729714,0.6501370584066063,-0.09972685693864376,0.010379007806169589,7호선,29378,0.895,Balanced,-0.652,0.507,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
마장,1,0.03716257220822424,0.5070031625973169,-0.014878946464763823,-0.002637805103700494,5호선,12944,0.925,Balanced,-0.175,0.492,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
마천,1,0.06617396684302422,0.599502050935564,-0.09404559162783332,0.03013698628441441,5호선,15417,0.916,Balanced,-0.583,0.534,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
마포,0,0.04704052729253276,0.289980038301769,0.04795988675430597,0.022473857516336227,5호선,33968,0.73,Weekday-oriented,0.153,0.562,업무 유입형,군집 0: 업무 유입 중심
마포구청,1,0.028461178377893383,0.5904890834014228,-0.02630539695334964,0.010680165101686855,6호선,31531,0.931,Balanced,-0.234,0.52,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
망원,1,0.06647113990070623,0.2392853209773176,0.004698505945810749,-0.035103198187935065,6호선,34873,1.366,Weekend-relative-strong,-0.097,0.455,혼합형,군집 1: 주거 유출·귀가 중심
매봉,0,0.039986981541569294,0.4991485387553591,0.08910616896162861,0.032081199333689456,3호선,28975,0.655,Weekday-oriented,0.389,0.566,업무 유입형,군집 0: 업무 유입 중심
먹골,1,0.01934351368551741,0.7100287518349306,-0.06133298753311527,-0.004303126166168292,7호선,22514,0.997,Balanced,-0.462,0.494,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
면목,1,0.02461548462043848,0.7085094406588304,-0.06714768405471014,0.005732508983764732,7호선,32756,0.916,Balanced,-0.479,0.506,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
명동,0,0.04701520595341772,0.47528221345117067,0.0865245476180579,-0.042370258189972955,4호선,77421,1.429,Weekend-relative-strong,0.464,0.434,업무 유입형,군집 0: 업무 유입 중심
명일,1,0.024090611201499246,0.695846414210779,-0.06253069672953425,-0.004309463387248771,5호선,18328,1.011,Balanced,-0.464,0.489,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
모란,0,0.07862678588411147,-0.07323968867099101,0.016501486859024084,-0.02802251862179689,8호선,10226,1.201,Weekend-relative-strong,0.026,0.425,혼합형,군집 0: 업무 유입 중심
목동,1,0.02961976620170395,0.676517029272605,-0.06300558418609194,-0.0007759904506533435,5호선,38915,0.853,Balanced,-0.464,0.524,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
몽촌토성(평화의문),0,0.04937310119261977,0.18930840629140847,0.03663378136585219,0.012187556135704625,8호선,16648,1.027,Balanced,0.111,0.532,혼합형,군집 0: 업무 유입 중심
무악재,1,0.03257763273810353,0.7037562395653142,-0.07735430382008346,0.005700078038395425,3호선,9459,0.947,Balanced,-0.532,0.516,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
문래,0,0.051845612135872854,0.40712472029511654,0.07281404413280212,0.04240313128450064,2호선,53667,0.783,Weekday-oriented,0.28,0.602,업무 유입형,군집 0: 업무 유입 중심
문정,0,0.08214714779264752,0.47793683169002427,0.12904939726386525,0.06189192039573719,8호선,53827,0.523,Weekday-oriented,0.55,0.643,업무 유입형,군집 0: 업무 유입 중심
미사,1,0.02702439886862177,0.6738955550739852,-0.058181572244097084,-0.00047166677138201147,5호선,39930,1.037,Balanced,-0.436,0.512,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
미아(서울사이버대학),1,0.027923886730842184,0.593738737326727,-0.027130114164367426,-0.0044322053873927895,4호선,34873,0.968,Balanced,-0.251,0.479,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
미아사거리,1,0.019408821822335193,0.6937319093001467,-0.05553054404487293,-0.012804668882487399,4호선,56431,1.075,Balanced,-0.439,0.48,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
반포,0,0.059067774401658425,0.2488892089786956,0.04454373018633093,-0.028791994149706398,7호선,14516,0.99,Balanced,0.208,0.453,업무 유입형,군집 0: 업무 유입 중심
발산,0,0.02074019586278791,0.526540794865758,0.08432942978696004,0.010741473230616208,5호선,52993,0.873,Balanced,0.383,0.536,업무 유입형,군집 0: 업무 유입 중심
방배,0,0.022678659768458766,0.4513950274662625,0.06385889018192524,-0.0073017961586328535,2호선,40077,0.715,Weekday-oriented,0.291,0.499,업무 유입형,군집 0: 업무 유입 중심
방이,1,0.05665004820133234,0.3117197500148312,0.001862410497300114,-0.005811324100468135,5호선,16796,1.023,Balanced,-0.11,0.497,혼합형,군집 1: 주거 유출·귀가 중심
방화,1,0.02325409861987368,0.6801898186962076,-0.05438155847937506,0.00523945705128454,5호선,15462,0.952,Balanced,-0.398,0.488,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
버티고개,1,0.045960452020519973,0.4196615609390584,-0.005863239973554347,0.002880797426986521,6호선,5054,1.012,Balanced,-0.11,0.516,혼합형,군집 1: 주거 유출·귀가 중심
보라매,1,0.0359783720256436,0.5236010555225609,-0.016288733269278072,0.006031458207048481,7호선,15206,1.016,Balanced,-0.2,0.521,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
보문,1,0.026131921846799896,0.612672848994191,-0.03094072920234592,0.011885785781705061,6호선,17724,0.972,Balanced,-0.256,0.524,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
복정,1,0.033996388923019295,0.5704984190659992,-0.0288526724381863,0.012375958025757345,8호선,20351,0.895,Balanced,-0.219,0.552,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
봉천,1,0.04169221712976141,0.6775957880400681,-0.0827159612376145,0.004897984507234224,2호선,52837,0.97,Balanced,-0.571,0.516,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
봉화산(서울의료원),1,0.05071103258239716,0.6524748993312647,-0.08728247067651618,0.019557660607303583,6호선,19150,0.846,Balanced,-0.555,0.524,주거 유출·귀가형,군집 1: 주거 유출·귀가 중심
