half_year,k,cluster_name,number_of_stations,average_weekday_volume,average_orientation_score,average_peak_concentration,average_silhouette
H1,2,업무 유입 중심,85,59869.12407315867,0.39593234233913566,0.5177669130815007,0.3649599653560106
H1,2,주거 유출·귀가 중심,155,32498.263486039577,-0.3551102335943046,0.5048047788260078,0.5697510333262708
H1,3,업무 유입 중심,51,67388.10660734882,0.5550086379696272,0.5418791324161444,0.36592797984667685
H1,3,주거 유출·귀가 중심,106,30558.723323291582,-0.4574106285742891,0.5113020888272038,0.5033169815875839
H1,3,혼합 흐름 중심,83,41567.328642300294,-0.014551217058638771,0.4870008573620699,0.23591217608189793
H2,2,업무 유입 중심,89,58576.29626966292,0.37449257887049103,0.5141648589411533,0.34796516632598995
H2,2,주거 유출·귀가 중심,151,32686.365986754965,-0.36469952236807107,0.5049686061407312,0.5768692307698573
H2,3,업무 유입 중심,49,68266.51902040816,0.5579413394051843,0.5432262295685835,0.37002906216262754
H2,3,주거 유출·귀가 중심,113,31030.67228318584,-0.44321114318265775,0.5085835250269789,0.5019422059619072
H2,3,혼합 흐름 중심,78,42274.43887179487,0.012871092188221356,0.48619113328338287,0.24263201087873149
