profile_shift_rank,station_name,profile_shift_l2,total_variation_distance,profile_cosine_similarity,h1_weekday_average,h2_weekday_average,h1_orientation_score,h2_orientation_score,orientation_score_change,h1_k2_cluster_name,h2_k2_cluster_name,k2_cluster_changed,h1_k3_cluster_name,h2_k3_cluster_name,k3_cluster_changed
1,이촌(국립중앙박물관),0.025422408793202338,0.06576343727764777,0.9906831470167415,20292.529411764706,23631.624,0.10814795497832269,0.17040067902163963,0.06225272404331694,업무 유입 중심,업무 유입 중심,False,혼합 흐름 중심,혼합 흐름 중심,False
2,월드컵경기장(성산),0.031901857972837545,0.06353293882584207,0.985121182593329,9888.159663865546,11730.272,-0.1526919931184251,-0.22751396444471794,-0.07482197132629284,주거 유출·귀가 중심,주거 유출·귀가 중심,False,혼합 흐름 중심,혼합 흐름 중심,False
3,동작(현충원),0.028236896809392727,0.052844727946635174,0.9896224390401364,5092.420168067227,5079.1359999999995,0.26341615121462386,0.269364889246024,0.005948738031400114,업무 유입 중심,업무 유입 중심,False,혼합 흐름 중심,혼합 흐름 중심,False
4,종합운동장,0.024262016089761678,0.036522051331505205,0.9941815034879644,28525.436974789915,28429.224000000002,-0.36569394175484965,-0.3263868087018385,0.039307133053011145,주거 유출·귀가 중심,주거 유출·귀가 중심,False,혼합 흐름 중심,혼합 흐름 중심,False
5,반포,0.018502225521228193,0.032581129914965055,0.9949671961828921,14053.9243697479,14955.224,0.236509864521987,0.1827685361855365,-0.05374132833645048,업무 유입 중심,업무 유입 중심,False,혼합 흐름 중심,혼합 흐름 중심,False
6,장승배기,0.014641199640162672,0.03254893092219362,0.9970465269201912,20473.974789915967,21430.56,-0.3589875779242683,-0.2833106988867506,0.07567687903751769,주거 유출·귀가 중심,주거 유출·귀가 중심,False,주거 유출·귀가 중심,주거 유출·귀가 중심,False
7,돌곶이,0.014485380706381999,0.03141833619446254,0.9979970009070216,23211.126050420167,25618.072,-0.4493005895718177,-0.5163865949512437,-0.06708600537942605,주거 유출·귀가 중심,주거 유출·귀가 중심,False,주거 유출·귀가 중심,주거 유출·귀가 중심,False
8,마곡,0.014419773149301629,0.03132939751932895,0.9975736898895416,29431.563025210085,34126.744,0.2715092959662354,0.33498255360953955,0.06347325764330414,업무 유입 중심,업무 유입 중심,False,업무 유입 중심,업무 유입 중심,False
9,성수,0.015276954451385551,0.028424480447762027,0.9979256227856739,107439.78151260504,116512.784,0.6179248565620411,0.6032941873024072,-0.014630669259633855,업무 유입 중심,업무 유입 중심,False,업무 유입 중심,업무 유입 중심,False
10,숭실대입구(살피재),0.011762801348262351,0.027859414529907447,0.9979806089879456,32697.680672268907,31059.136000000002,-0.27632686700755926,-0.32140492988415637,-0.0450780628765971,주거 유출·귀가 중심,주거 유출·귀가 중심,False,혼합 흐름 중심,주거 유출·귀가 중심,True
