date,station_name,actual,weekday,is_weekend,is_holiday,holiday_name,day_type,station_type,weekday_average,weekend_average,relative_weekend_index,prediction,model_name,error,residual,absolute_error,squared_error,underprediction,is_underprediction
2025-10-13,강남,170217,월,False,False,,Ordinary weekday,Balanced,180657,100064,0.854,31699.0,same_weekday_last_week,-138518.0,138518.0,138518.0,19187236324.0,138518.0,True
2025-10-14,강남,173332,화,False,False,,Ordinary weekday,Balanced,180657,100064,0.854,49755.0,same_weekday_last_week,-123577.0,123577.0,123577.0,15271274929.0,123577.0,True
2025-10-13,역삼,128775,월,False,False,,Ordinary weekday,Weekday-oriented,126467,35162,0.429,11961.0,same_weekday_last_week,-116814.0,116814.0,116814.0,13645510596.0,116814.0,True
2025-10-14,역삼,130902,화,False,False,,Ordinary weekday,Weekday-oriented,126467,35162,0.429,16025.0,same_weekday_last_week,-114877.0,114877.0,114877.0,13196725129.0,114877.0,True
2025-10-15,강남,176914,수,False,False,,Ordinary weekday,Balanced,180657,100064,0.854,65912.0,same_weekday_last_week,-111002.0,111002.0,111002.0,12321444004.0,111002.0,True
2025-10-15,역삼,131395,수,False,False,,Ordinary weekday,Weekday-oriented,126467,35162,0.429,21451.0,same_weekday_last_week,-109944.0,109944.0,109944.0,12087683136.0,109944.0,True
2025-10-13,선릉,123223,월,False,False,,Ordinary weekday,Weekday-oriented,125904,44395,0.544,13549.0,same_weekday_last_week,-109674.0,109674.0,109674.0,12028386276.0,109674.0,True
2025-10-14,선릉,127702,화,False,False,,Ordinary weekday,Weekday-oriented,125904,44395,0.544,19946.0,same_weekday_last_week,-107756.0,107756.0,107756.0,11611355536.0,107756.0,True
2025-10-16,강남,178198,목,False,False,,Ordinary weekday,Balanced,180657,100064,0.854,70676.0,same_weekday_last_week,-107522.0,107522.0,107522.0,11560980484.0,107522.0,True
2025-10-16,역삼,129977,목,False,False,,Ordinary weekday,Weekday-oriented,126467,35162,0.429,24859.0,same_weekday_last_week,-105118.0,105118.0,105118.0,11049793924.0,105118.0,True
2025-10-15,선릉,128831,수,False,False,,Ordinary weekday,Weekday-oriented,125904,44395,0.544,28479.0,same_weekday_last_week,-100352.0,100352.0,100352.0,10070523904.0,100352.0,True
2025-10-16,선릉,128435,목,False,False,,Ordinary weekday,Weekday-oriented,125904,44395,0.544,30969.0,same_weekday_last_week,-97466.0,97466.0,97466.0,9499621156.0,97466.0,True
2025-10-13,구로디지털단지,125058,월,False,False,,Ordinary weekday,Weekday-oriented,128137,66398,0.799,29320.0,same_weekday_last_week,-95738.0,95738.0,95738.0,9165764644.0,95738.0,True
2025-10-13,사당,133593,월,False,False,,Ordinary weekday,Balanced,148914,114165,1.182,39513.0,same_weekday_last_week,-94080.0,94080.0,94080.0,8851046400.0,94080.0,True
2025-10-13,가산디지털단지,104265,월,False,False,,Ordinary weekday,Weekday-oriented,101706,25232,0.383,13258.0,same_weekday_last_week,-91007.0,91007.0,91007.0,8282274049.0,91007.0,True
2025-10-14,구로디지털단지,129349,화,False,False,,Ordinary weekday,Weekday-oriented,128137,66398,0.799,39583.0,same_weekday_last_week,-89766.0,89766.0,89766.0,8057934756.0,89766.0,True
2025-10-13,교대(법원.검찰청),103586,월,False,False,,Ordinary weekday,Weekday-oriented,108679,45362,0.644,13868.0,same_weekday_last_week,-89718.0,89718.0,89718.0,8049319524.0,89718.0,True
2025-10-14,교대(법원.검찰청),108077,화,False,False,,Ordinary weekday,Weekday-oriented,108679,45362,0.644,21776.0,same_weekday_last_week,-86301.0,86301.0,86301.0,7447862601.0,86301.0,True
2025-10-14,사당,144973,화,False,False,,Ordinary weekday,Balanced,148914,114165,1.182,58687.0,same_weekday_last_week,-86286.0,86286.0,86286.0,7445273796.0,86286.0,True
2025-10-14,가산디지털단지,104174,화,False,False,,Ordinary weekday,Weekday-oriented,101706,25232,0.383,18828.0,same_weekday_last_week,-85346.0,85346.0,85346.0,7283939716.0,85346.0,True
2025-10-13,시청,114071,월,False,False,,Ordinary weekday,Weekday-oriented,121004,59902,0.763,31233.0,same_weekday_last_week,-82838.0,82838.0,82838.0,6862134244.0,82838.0,True
2025-10-16,가산디지털단지,104401,목,False,False,,Ordinary weekday,Weekday-oriented,101706,25232,0.383,22269.0,same_weekday_last_week,-82132.0,82132.0,82132.0,6745665424.0,82132.0,True
2025-10-15,가산디지털단지,104875,수,False,False,,Ordinary weekday,Weekday-oriented,101706,25232,0.383,23347.0,same_weekday_last_week,-81528.0,81528.0,81528.0,6646814784.0,81528.0,True
2025-10-14,시청,121453,화,False,False,,Ordinary weekday,Weekday-oriented,121004,59902,0.763,40231.0,same_weekday_last_week,-81222.0,81222.0,81222.0,6597013284.0,81222.0,True
2025-10-16,삼성(무역센터),121092,목,False,False,,Ordinary weekday,Balanced,123725,66956,0.835,40465.0,same_weekday_last_week,-80627.0,80627.0,80627.0,6500713129.0,80627.0,True
2025-10-15,삼성(무역센터),122493,수,False,False,,Ordinary weekday,Balanced,123725,66956,0.835,42144.0,same_weekday_last_week,-80349.0,80349.0,80349.0,6455961801.0,80349.0,True
2025-10-16,교대(법원.검찰청),112741,목,False,False,,Ordinary weekday,Weekday-oriented,108679,45362,0.644,33460.0,same_weekday_last_week,-79281.0,79281.0,79281.0,6285476961.0,79281.0,True
