date,day_type,holiday_name,actual_total,prediction_total,absolute_error_total,error,absolute_error,absolute_error_pct,model_name,error_rank
2025-10-06,Public holiday,추석,3129746,10166966.0,7037220.0,7037220.0,7037220.0,224.84955648158032,same_weekday_last_week,1
2025-10-07,Public holiday,추석 다음날,4150106,10374857.0,6263531.0,6224751.0,6224751.0,149.99016892580573,same_weekday_last_week,2
2025-10-09,Public holiday,한글날,5460124,10517925.0,5069179.0,5057801.0,5057801.0,92.63161422707617,same_weekday_last_week,3
2025-10-08,Public holiday,추석 대체 휴일,5691606,10354149.0,4921053.0,4662543.0,4662543.0,81.91963744503748,same_weekday_last_week,4
2025-10-03,Public holiday,개천절,6180335,11022344.0,4842009.0,4842009.0,4842009.0,78.34541331497402,same_weekday_last_week,5
2025-10-13,Ordinary weekday,,9642410,3129746.0,6512664.0,-6512664.0,6512664.0,67.54186971929217,same_weekday_last_week,6
2025-10-14,Ordinary weekday,,10144812,4150106.0,6029906.0,-5994706.0,5994706.0,59.09134639459065,same_weekday_last_week,7
2025-12-25,Public holiday,기독탄신일,6831450,10830479.0,4352465.0,3999029.0,3999029.0,58.538509394052504,same_weekday_last_week,8
2025-10-04,Ordinary weekend,,5757722,8719811.0,2967885.0,2962089.0,2962089.0,51.44550223161174,same_weekday_last_week,9
2025-10-16,Ordinary weekday,,10400406,5460124.0,4981524.0,-4940282.0,4940282.0,47.50085717807555,same_weekday_last_week,10
2025-10-15,Ordinary weekday,,10316683,5691606.0,4890789.0,-4625077.0,4625077.0,44.831046955693026,same_weekday_last_week,11
2025-10-05,Public holiday,추석 전날,4050176,5336748.0,1343494.0,1286572.0,1286572.0,31.765829435560335,same_weekday_last_week,12
2025-10-10,Ordinary weekday,,8520061,6180335.0,2470838.0,-2339726.0,2339726.0,27.4613761568139,same_weekday_last_week,13
2025-10-12,Ordinary weekend,,5164823,4050176.0,1172233.0,-1114647.0,1114647.0,21.5815140228426,same_weekday_last_week,14
2025-12-26,Ordinary weekday,,9339846,11349481.0,2009635.0,2009635.0,2009635.0,21.51678946312391,same_weekday_last_week,15
2025-10-17,Ordinary weekday,,10790257,8520061.0,2370234.0,-2270196.0,2270196.0,21.0393135214481,same_weekday_last_week,16
2025-10-18,Ordinary weekend,,7917964,6523259.0,1402253.0,-1394705.0,1394705.0,17.614439772648623,same_weekday_last_week,17
2025-10-19,Ordinary weekend,,6038555,5164823.0,889708.0,-873732.0,873732.0,14.469223183360919,same_weekday_last_week,18
2025-12-27,Ordinary weekend,,7550644,8472903.0,947049.0,922259.0,922259.0,12.214309137074931,same_weekday_last_week,19
2025-10-11,Ordinary weekend,,6523259,5757722.0,938027.0,-765537.0,765537.0,11.73549908105749,same_weekday_last_week,20
2025-12-31,Ordinary weekday,,10040007,10989300.0,1072055.0,949293.0,949293.0,9.455102969549722,same_weekday_last_week,21
2025-12-28,Ordinary weekend,,5750901,6280543.0,550638.0,529642.0,529642.0,9.209722093981448,same_weekday_last_week,22
2025-10-25,Ordinary weekend,,8433052,7917964.0,654426.0,-515088.0,515088.0,6.107966605684395,same_weekday_last_week,23
2025-12-21,Ordinary weekend,,6280543,5950308.0,375433.0,-330235.0,330235.0,5.258064469903319,same_weekday_last_week,24
